Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
197084,Are You My Mother?,P.D. Eastman,"Eastman, P.D.","Merwin Goldsmith, MARIAN HAILEY, Ron Marshall, Brendon Parry, Jim Thurman, Ray Messecar, Chris Campbell, Ron Nicodemus, Sharon Lerner, Phil Eastman","=""0001713221""","=""9780001713222""",0,4.18,"Random House, Inc.",Paperback,64,1962,1960,,2019/04/23,to-read,to-read (#946),to-read,,,,0,,,0,,,,,
31456,The Twits,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141318309""","=""9780141318301""",0,3.95,Puffin Books,Paperback,96,2004,1980,,2019/04/23,to-read,to-read (#947),to-read,,,,0,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",0,3.96,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,,2019/04/23,to-read,to-read (#945),to-read,,,,0,,,0,,,,,
2213661,The Graveyard Book,Neil Gaiman,"Gaiman, Neil","Dave McKean, Nīls Geimens","=""0060530928""","=""9780060530921""",0,4.13,HarperCollins,Hardcover,307,2008,2008,,2019/04/23,to-read,to-read (#944),to-read,,,,0,,,0,,,,,
19302,Pippi Longstocking,Astrid Lindgren,"Lindgren, Astrid","Florence Lamborn, Louis S. Glanzman","=""0142402494""","=""9780142402498""",0,4.12,Puffin Books,Mass Market Paperback,160,2005,1945,,2019/04/23,to-read,to-read (#943),to-read,,,,0,,,0,,,,,
475339,Madeline,Ludwig Bemelmans,"Bemelmans, Ludwig",,"=""0590133373""","=""9780590133371""",0,4.22,London: Hippo,Paperback,44,1989,1939,,2019/04/23,to-read,to-read (#941),to-read,,,,0,,,0,,,,,
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0066238501""","=""9780066238500""",0,4.26,HarperCollins,Paperback,767,2002,1956,,2019/04/23,to-read,to-read (#942),to-read,,,,0,,,0,,,,,
767680,If You Give a Mouse a Cookie,Laura Joffe Numeroff,"Numeroff, Laura Joffe",Felicia Bond,"=""0060245867""","=""9780060245863""",0,4.25,HarperCollins,Hardcover,40,2015,1985,,2019/04/23,to-read,to-read (#940),to-read,,,,0,,,0,,,,,
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",0,4.24,Disney Hyperion Books,Paperback,377,2006,2005,,2019/04/23,to-read,to-read (#939),to-read,,,,0,,,0,,,,,
77767,"Little House on the Prairie (Little House, #2)",Laura Ingalls Wilder,"Wilder, Laura Ingalls",Garth Williams,"=""0064400026""","=""9780064400022""",0,4.19,HarperCollins,Paperback,335,2008,1935,,2019/04/23,to-read,to-read (#938),to-read,,,,0,,,0,,,,,
